Date,CAT,EUR=X,JPY=X
2003-12-31,24.3503360748291,0.7942799925804138,107.4000015258789
2004-01-01,,0.7947900295257568,107.30000305175781
2004-01-02,24.241823196411133,0.7947900295257568,106.91000366210938
2004-01-05,24.901752471923828,0.7882099747657776,106.23999786376953
2004-01-06,24.4617977142334,0.7860999703407288,106.2300033569336
2004-01-07,24.19487953186035,0.7910799980163574,106.18000030517578
2004-01-08,24.007160186767578,0.7827799916267395,106.16999816894531
2004-01-09,23.596534729003906,0.7776700258255005,106.58000183105469
2004-01-12,24.183141708374023,0.7848700284957886,106.5999984741211
2004-01-13,24.197813034057617,0.7821099758148193,106.23999786376953
2004-01-14,24.54979133605957,0.7904499769210815,106.23999786376953
2004-01-15,24.564525604248047,0.7935900092124939,106.2699966430664
2004-01-16,24.788421630859375,0.8065800070762634,106.75
2004-01-19,,0.8094499707221985,107.2300033569336
2004-01-20,24.20213508605957,0.7943400144577026,107.0
2004-01-21,24.570411682128906,0.7899500131607056,106.80999755859375
2004-01-22,24.747167587280273,0.7858499884605408,106.12999725341797
2004-01-23,24.79726219177246,0.7947199940681458,106.75
2004-01-26,25.04472541809082,0.8007699847221375,106.3499984741211
2004-01-27,24.157955169677734,0.7913299798965454,105.62999725341797
2004-01-28,23.456787109375,0.8037300109863281,106.12999725341797
2004-01-29,22.761503219604492,0.8058000206947327,105.91000366210938
2004-01-30,23.017810821533203,0.802049994468689,105.72000122070312
2004-02-02,22.82927703857422,0.8043100237846375,105.5199966430664
2004-02-03,22.696701049804688,0.7977700233459473,105.47000122070312
2004-02-04,22.360841751098633,0.7974500060081482,105.44999694824219
2004-02-05,22.48457145690918,0.7954199910163879,105.63999938964844
2004-02-06,23.12682342529297,0.7874000072479248,105.44999694824219
2004-02-09,22.882295608520508,0.7877699732780457,105.81999969482422
2004-02-10,22.555286407470703,0.7883300185203552,105.58000183105469
2004-02-11,23.262340545654297,0.779420018196106,105.33999633789062
2004-02-12,23.182802200317383,0.7801499962806702,105.30000305175781
2004-02-13,22.80864715576172,0.7856699824333191,105.19999694824219
2004-02-16,,0.7833899855613708,105.44999694824219
2004-02-17,23.427326202392578,0.7777299880981445,105.61000061035156
2004-02-18,23.247617721557617,0.7858499884605408,106.33999633789062
2004-02-19,23.135662078857422,0.7838799953460693,106.91000366210938
2004-02-20,22.631881713867188,0.7973200082778931,108.94999694824219
2004-02-23,22.749727249145508,0.7954199910163879,108.30000305175781
2004-02-24,22.596521377563477,0.7887700200080872,108.19999694824219
2004-02-25,22.73794174194336,0.8001899719238281,108.97000122070312
2004-02-26,22.964786529541016,0.8033400177955627,109.4800033569336
2004-02-27,22.316650390625,0.8003799915313721,109.25
2004-03-01,22.63776969909668,0.8033400177955627,108.91000366210938
2004-03-02,22.85872459411621,0.8194000124931335,110.1500015258789
2004-03-03,22.7791805267334,0.8202800154685974,110.11000061035156
2004-03-04,22.65545082092285,0.8191999793052673,111.25
2004-03-05,22.499317169189453,0.8085399866104126,112.0
2004-03-08,22.652503967285156,0.8047599792480469,111.29000091552734
2004-03-09,22.508150100708008,0.8117499947547913,111.45999908447266
2004-03-10,21.656728744506836,0.8175299763679504,110.88999938964844
2004-03-11,21.550668716430664,0.8096500039100647,110.83000183105469
2004-03-12,22.07506561279297,0.8180599808692932,110.6500015258789
2004-03-15,21.795183181762695,0.8148599863052368,110.30999755859375
2004-03-16,22.19879913330078,0.8155900239944458,108.70999908447266
2004-03-17,22.749727249145508,0.8178600072860718,108.26000213623047
2004-03-18,22.743824005126953,0.8071699738502502,106.79000091552734
2004-03-19,22.478675842285156,0.815060019493103,106.66000366210938
2004-03-22,22.242992401123047,0.8099799752235413,106.76000213623047
2004-03-23,22.346115112304688,0.8100399971008301,106.76000213623047
2004-03-24,22.487524032592773,0.8237900137901306,106.4000015258789
2004-03-25,22.72909927368164,0.823930025100708,106.12999725341797
2004-03-26,22.814531326293945,0.8246099948883057,106.18000030517578
2004-03-29,23.415544509887695,0.8219599723815918,105.45999908447266
2004-03-30,23.5687313079834,0.8206800222396851,105.83999633789062
2004-03-31,23.294750213623047,0.8121500015258789,104.20999908447266
2004-04-01,23.274124145507812,0.8087300062179565,103.73999786376953
2004-04-02,23.922264099121094,0.8244699835777283,104.61000061035156
2004-04-05,24.278745651245117,0.8324300050735474,105.08999633789062
2004-04-06,24.426048278808594,0.8243299722671509,105.76000213623047
2004-04-07,24.187416076660156,0.8219599723815918,105.22000122070312
2004-04-08,24.152082443237305,0.8280199766159058,106.41999816894531
2004-04-09,,0.8274000287055969,106.4000015258789
2004-04-12,24.673524856567383,0.8282899856567383,105.3499984741211
2004-04-13,24.163846969604492,0.837660014629364,106.81999969482422
2004-04-14,23.872194290161133,0.8370299935340881,108.66999816894531
2004-04-15,23.804428100585938,0.8342400193214417,108.20999908447266
2004-04-16,24.149127960205078,0.8331300020217896,107.80000305175781
2004-04-19,23.86334800720215,0.8328499794006348,108.38999938964844
2004-04-20,23.562847137451172,0.8440200090408325,108.95999908447266
2004-04-21,23.886917114257812,0.8467400074005127,109.3499984741211
2004-04-22,24.89022445678711,0.8385699987411499,109.37999725341797
2004-04-23,24.256858825683594,0.8438799977302551,109.16000366210938
2004-04-26,23.943143844604492,0.8430299758911133,108.62999725341797
2004-04-27,24.20951271057129,0.8382899761199951,109.5199966430664
2004-04-28,23.588001251220703,0.8443800210952759,110.0199966430664
2004-04-29,22.960561752319336,0.8361200094223022,109.93000030517578
2004-04-30,23.00495719909668,0.8345199823379517,110.37000274658203
